"Date";"close_price";"Signal"
"2015-03-13";2581.05;"HOLD"
"2015-03-16";2565.35;"HOLD"
"2015-03-17";2580.9;"HOLD"
"2015-03-18";2560.7;"HOLD"
"2015-03-19";2594.4;"HOLD"
"2015-03-20";2609.65;"HOLD"
"2015-03-23";2610.55;"HOLD"
"2015-03-24";2593.55;"HOLD"
"2015-03-25";2573.1;"HOLD"
"2015-03-26";2513.35;"HOLD"
"2015-03-27";2516.2;"HOLD"
"2015-03-30";2557.25;"HOLD"
"2015-03-31";2547.05;"HOLD"
"2015-04-01";2543.4;"HOLD"
"2015-04-06";2546.0;"HOLD"
"2015-04-07";2586.1;"SELL"
"2015-04-08";2644.35;"HOLD"
"2015-04-09";2661.15;"HOLD"
"2015-04-10";2651.95;"HOLD"
"2015-04-13";2650.25;"HOLD"
"2015-04-15";2624.7;"HOLD"
"2015-04-16";2585.2;"HOLD"
"2015-04-17";2476.2;"HOLD"
"2015-04-20";2430.65;"HOLD"
"2015-04-21";2426.85;"HOLD"
"2015-04-22";2447.9;"HOLD"
"2015-04-23";2456.85;"HOLD"
"2015-04-24";2496.9;"HOLD"
"2015-04-27";2500.3;"HOLD"
"2015-04-28";2494.55;"HOLD"
"2015-04-29";2485.65;"HOLD"
"2015-04-30";2466.65;"HOLD"
"2015-05-04";2479.1;"HOLD"
"2015-05-05";2519.25;"HOLD"
"2015-05-06";2462.85;"HOLD"
"2015-05-07";2543.3;"HOLD"
"2015-05-08";2530.7;"HOLD"
"2015-05-11";2555.8;"HOLD"
"2015-05-12";2521.2;"HOLD"
"2015-05-13";2519.95;"HOLD"
"2015-05-14";2499.95;"HOLD"
"2015-05-15";2509.65;"HOLD"
"2015-05-18";2519.35;"HOLD"
"2015-05-19";2511.95;"HOLD"
"2015-05-20";2557.55;"HOLD"
"2015-05-21";2557.65;"HOLD"
"2015-05-22";2619.55;"HOLD"
"2015-05-25";2601.4;"HOLD"
"2015-05-26";2606.35;"HOLD"
"2015-05-27";2616.55;"HOLD"
"2015-05-28";2609.95;"HOLD"
"2015-05-29";2610.6;"HOLD"
"2015-06-01";2616.4;"BUY"
"2015-06-02";2600.45;"HOLD"
"2015-06-03";2610.75;"HOLD"
"2015-06-04";2606.2;"HOLD"
"2015-06-05";2572.35;"HOLD"
"2015-06-08";2578.65;"HOLD"
"2015-06-09";2558.1;"HOLD"
"2015-06-10";2602.05;"HOLD"
"2015-06-11";2571.0;"HOLD"
"2015-06-12";2512.05;"HOLD"
"2015-06-15";2511.8;"HOLD"
"2015-06-16";2511.05;"HOLD"
"2015-06-17";2514.95;"HOLD"
"2015-06-18";2528.55;"HOLD"
"2015-06-19";2551.1;"HOLD"
"2015-06-22";2595.7;"HOLD"
"2015-06-23";2577.7;"HOLD"
"2015-06-24";2568.4;"HOLD"
"2015-06-25";2551.75;"HOLD"
"2015-06-26";2594.05;"HOLD"
"2015-06-29";2593.55;"HOLD"
"2015-06-30";2552.2;"HOLD"
"2015-07-01";2591.8;"HOLD"
"2015-07-02";2580.85;"HOLD"
"2015-07-03";2604.8;"HOLD"
"2015-07-06";2632.8;"HOLD"
"2015-07-07";2619.05;"HOLD"
"2015-07-08";2594.05;"HOLD"
"2015-07-09";2521.4;"HOLD"
"2015-07-10";2471.9;"HOLD"
"2015-07-13";2508.6;"HOLD"
"2015-07-14";2499.5;"HOLD"
"2015-07-15";2546.25;"HOLD"
"2015-07-16";2538.15;"HOLD"
"2015-07-17";2559.35;"HOLD"
"2015-07-20";2579.55;"HOLD"
"2015-07-21";2562.85;"SELL"
"2015-07-22";2528.1;"HOLD"
"2015-07-23";2487.95;"HOLD"
"2015-07-24";2503.75;"HOLD"
"2015-07-27";2496.9;"HOLD"
"2015-07-28";2501.5;"HOLD"
"2015-07-29";2508.1;"HOLD"
"2015-07-30";2480.95;"HOLD"
"2015-07-31";2510.0;"HOLD"
"2015-08-03";2507.95;"HOLD"
"2015-08-04";2509.3;"HOLD"
"2015-08-05";2541.65;"HOLD"
"2015-08-06";2574.3;"HOLD"
"2015-08-07";2551.7;"HOLD"
"2015-08-10";2570.8;"HOLD"
"2015-08-11";2603.05;"HOLD"
"2015-08-12";2671.4;"HOLD"
"2015-08-13";2637.4;"HOLD"
"2015-08-14";2693.65;"HOLD"
"2015-08-17";2684.75;"HOLD"
"2015-08-18";2734.6;"BUY"
"2015-08-19";2731.4;"HOLD"
"2015-08-20";2691.2;"HOLD"
"2015-08-21";2675.1;"HOLD"
"2015-08-24";2579.2;"HOLD"
"2015-08-25";2567.35;"HOLD"
"2015-08-26";2576.75;"HOLD"
"2015-08-27";2577.6;"HOLD"
"2015-08-28";2570.65;"HOLD"
"2015-08-31";2565.25;"HOLD"
"2015-09-01";2538.8;"HOLD"
"2015-09-02";2593.2;"HOLD"
"2015-09-03";2605.25;"HOLD"
"2015-09-04";2549.45;"HOLD"
"2015-09-07";2539.5;"HOLD"
"2015-09-08";2542.1;"HOLD"
"2015-09-09";2550.65;"HOLD"
"2015-09-10";2542.35;"HOLD"
"2015-09-11";2545.5;"HOLD"
"2015-09-14";2550.75;"HOLD"
"2015-09-15";2543.15;"HOLD"
"2015-09-16";2551.15;"HOLD"
"2015-09-18";2554.15;"SELL"
"2015-09-21";2550.7;"HOLD"
"2015-09-22";2526.35;"HOLD"
"2015-09-23";2534.05;"HOLD"
"2015-09-24";2575.6;"HOLD"
