"Date";"close_price";"Signal"
"2015-03-13";15879.3;"HOLD"
"2015-03-16";15803.25;"HOLD"
"2015-03-17";15935.7;"HOLD"
"2015-03-18";16043.45;"HOLD"
"2015-03-19";16079.95;"HOLD"
"2015-03-20";16002.0;"HOLD"
"2015-03-23";15843.2;"HOLD"
"2015-03-24";15513.65;"HOLD"
"2015-03-25";15551.25;"HOLD"
"2015-03-26";15584.75;"HOLD"
"2015-03-27";15471.95;"HOLD"
"2015-03-30";16019.7;"SELL"
"2015-03-31";15890.2;"HOLD"
"2015-04-01";16028.4;"HOLD"
"2015-04-06";15763.7;"HOLD"
"2015-04-07";15950.4;"HOLD"
"2015-04-08";16501.0;"HOLD"
"2015-04-09";16338.65;"HOLD"
"2015-04-10";16206.35;"HOLD"
"2015-04-13";16054.1;"HOLD"
"2015-04-15";15861.8;"HOLD"
"2015-04-16";15837.45;"HOLD"
"2015-04-17";15327.25;"HOLD"
"2015-04-20";14762.5;"HOLD"
"2015-04-21";14320.6;"HOLD"
"2015-04-22";14377.3;"HOLD"
"2015-04-23";14774.35;"HOLD"
"2015-04-24";14710.8;"HOLD"
"2015-04-27";14784.95;"HOLD"
"2015-04-28";15165.15;"HOLD"
"2015-04-29";15228.4;"HOLD"
"2015-04-30";15217.85;"HOLD"
"2015-05-04";15337.55;"HOLD"
"2015-05-05";15552.05;"HOLD"
"2015-05-06";15064.7;"HOLD"
"2015-05-07";14796.2;"HOLD"
"2015-05-08";15789.0;"HOLD"
"2015-05-11";16865.3;"HOLD"
"2015-05-12";17121.0;"HOLD"
"2015-05-13";18062.7;"HOLD"
"2015-05-14";18190.25;"HOLD"
"2015-05-15";18707.0;"HOLD"
"2015-05-18";18618.15;"HOLD"
"2015-05-19";18275.85;"BUY"
"2015-05-20";18510.45;"HOLD"
"2015-05-21";18428.3;"HOLD"
"2015-05-22";18669.8;"HOLD"
"2015-05-25";19173.0;"HOLD"
"2015-05-26";18945.2;"HOLD"
"2015-05-27";18353.85;"HOLD"
"2015-05-28";17972.6;"HOLD"
"2015-05-29";18713.8;"HOLD"
"2015-06-01";18785.25;"HOLD"
"2015-06-02";18138.5;"HOLD"
"2015-06-03";18209.75;"HOLD"
